Parameters,Run_1,Run_2,Run_3,Run_4,Run_5
Cl_pop,5.17534,5.16893,4.56723,5.17588,5.16605
V1_pop,20.2813,20.3818,22.5553,20.4719,20.7031
Q_pop,6.3938,6.31453,5.02293,6.18409,6.0158
V2_pop,23.4987,23.229,63.7188,23.7609,24.307
omega_Cl,0.2525,0.252229,0.247494,0.252446,0.253457
omega_V1,0.298568,0.262975,0.268821,0.266309,0.258443
omega_Q,0.588054,0.67253,0.380268,0.643541,0.605891
omega_V2,0.37471,0.353442,1.02572,0.311408,0.347092
corr_V2_V1,0.998971,0.998654,0.267465,0.998851,0.998896
a1,0.303971,0.302016,0.305194,0.303293,0.302238
a2,0.0627408,0.0624366,0.0671516,0.0633532,0.0638684
-2LL,941.997,941.965,962.851,941.73,942.32
