Tipo,MIC,mn,g,CLCR,DD,ii,tinf
1,0.0625,1,1,90,15,6,2
1,0.0670327578784393,1,1,90,15,6,2
1,0.0718942500606315,1,1,90,15,6,2
1,0.0771083177146605,1,1,90,15,6,2
1,0.0827005310684897,1,1,90,15,6,2
1,0.0886983148085187,1,1,90,15,6,2
1,0.0951310825725603,1,1,90,15,6,2
1,0.102030381196804,1,1,90,15,6,2
1,0.109430045424164,1,1,90,15,6,2
1,0.117366363832713,1,1,90,15,6,2
1,0.125878256797937,1,1,90,15,6,2
1,0.135007467361538,1,1,90,15,6,2
1,0.144798765942837,0.999,1,90,15,6,2
1,0.155300169896688,0.999,1,90,15,6,2
1,0.166563178994642,0.994,1,90,15,6,2
1,0.178643027984176,0.989,1,90,15,6,2
1,0.191598957464553,0.98,1,90,15,6,2
1,0.205494504407724,0.956,1,90,15,6,2
1,0.220397813749005,0.899,1,90,15,6,2
1,0.236381972575591,0.798,1,90,15,6,2
1,0.2535253685518,0.682,1,90,15,6,2
1,0.271912074338798,0.528,1,90,15,6,2
1,0.291632259894029,0.375,1,90,15,6,2
1,0.312782634672297,0.248,1,90,15,6,2
1,0.335466921897094,0.147,1,90,15,6,2
1,0.359796367228052,0.069,1,90,15,6,2
1,0.38589028431904,0.03,1,90,15,6,2
1,0.413876639942405,0.011,1,90,15,6,2
1,0.44389268154882,0.004,1,90,15,6,2
1,0.476085610340372,0.001,1,90,15,6,2
1,0.510613303157682,0,1,90,15,6,2
1,0.547645086721264,0,1,90,15,6,2
1,0.587362568024055,0,1,90,15,6,2
1,0.629960524947437,0,1,90,15,6,2
1,0.675647861468417,0,1,90,15,6,2
1,0.724648632142363,0,1,90,15,6,2
1,0.77720314088546,0,1,90,15,6,2
1,0.833569119445401,0,1,90,15,6,2
1,0.894022991339639,0,1,90,15,6,2
1,0.958861227459649,0,1,90,15,6,2
1,1.02840179998921,0,1,90,15,6,2
1,1.10298574176685,0,1,90,15,6,2
1,1.18297881873965,0,1,90,15,6,2
1,1.26877332371035,0,1,90,15,6,2
1,1.36079000017438,0,1,90,15,6,2
1,1.45948010568145,0,1,90,15,6,2
1,1.56532762484069,0,1,90,15,6,2
1,1.67885164282206,0,1,90,15,6,2
1,1.80060889099378,0,1,90,15,6,2
1,1.93119647718002,0,1,90,15,6,2
1,2.07125481392805,0,1,90,15,6,2
1,2.22147075914545,0,1,90,15,6,2
1,2.38258098450928,0,1,90,15,6,2
1,2.55537558816614,0,1,90,15,6,2
1,2.74070196944025,0,1,90,15,6,2
1,2.9394689845512,0,1,90,15,6,2
1,3.15265140372164,0,1,90,15,6,2
1,3.38129469153271,0,1,90,15,6,2
1,3.62652013397062,0,1,90,15,6,2
1,3.88953033730781,0,1,90,15,6,2
1,4.17161512578558,0,1,90,15,6,2
1,4.47415786702112,0,1,90,15,6,2
1,4.79864225615906,0,1,90,15,6,2
1,5.14665959203773,0,1,90,15,6,2
1,5.51991658105299,0,1,90,15,6,2
1,5.92024370699053,0,1,90,15,6,2
1,6.3496042078728,0,1,90,15,6,2
1,6.81010370384411,0,1,90,15,6,2
1,7.30400052330951,0,1,90,15,6,2
1,7.83371677796801,0,1,90,15,6,2
1,8.40185024105276,0,1,90,15,6,2
1,9.01118708703034,0,1,90,15,6,2
1,9.66471555523558,0,1,90,15,6,2
