iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a
1,1141.51,1,10.2275,43.2233,11.1604,60.344,1.5,1.5,1.5,1.5,3.3422
2,1107.68,1,7.42043,40.6098,13.7005,58.9653,1.34164,1.63715,1.46626,1.34164,2.98935
3,1082.71,1,8.05468,41.536,16.5106,80.904,1.2,1.46431,1.43951,1.4707,2.67376
4,1052.34,1,7.43315,62.1411,22.178,126.691,1.07331,1.44671,1.32575,1.31544,2.39148
5,1029.63,1,8.3086,90.5565,21.3294,128.908,0.96,1.37385,1.25342,1.18201,2.13901
6,1003.89,1,8.02072,90.8271,18.3323,142.143,0.85865,1.49436,1.2141,1.17133,1.91319
7,970.774,1,6.57781,107.627,17.1085,161.515,0.768,1.33659,1.11135,1.08358,1.7112
8,943.107,1,6.17362,113.466,17.9443,159.545,0.68692,1.19549,0.997106,1.12879,1.53055
9,938.856,1,6.29785,111.933,16.1525,147.104,0.708643,1.35131,1.0919,1.12151,1.36896
10,893.502,1,6.90607,89.6749,17.6998,160.356,0.633829,1.20865,0.976628,1.00311,1.22444
11,875.564,1,7.75958,93.1263,17.1075,153.273,0.566914,1.08105,0.944808,1.12194,1.09517
12,845.056,1,7.23377,79.336,17.0191,177.112,0.507064,0.966916,0.845062,1.00349,0.979551
13,824.162,1,7.11172,70.3773,19.8431,262.306,0.453531,1.07876,0.775843,0.948017,0.876137
14,786.544,1,7.2643,56.8417,20.2736,302.106,0.405651,0.964872,0.808218,0.895851,0.783641
15,769.914,1,7.11067,52.3566,20.5656,314.527,0.392092,0.863007,0.888082,0.823075,0.70091
16,745.837,1,7.72185,57.6102,20.329,323.469,0.387638,0.771897,0.835946,0.73618,0.626913
17,704.106,1,8.12137,49.3231,18.209,301.876,0.346714,0.690406,0.784079,0.65846,0.560728
18,692.326,1,8.17293,42.2241,17.6555,241.491,0.31011,0.625991,0.774409,0.684124,0.50153
19,655.106,1,8.04861,50.9907,13.5553,243.091,0.277371,0.559903,0.73643,0.636633,0.448582
20,619.306,1,8.63282,45.6371,12.614,238.673,0.249189,0.500792,0.658683,0.715407,0.401224
21,604.884,1,8.63454,45.7476,13.1703,237.036,0.222881,0.447922,0.618198,0.63988,0.358866
22,571.896,1,8.67497,42.9168,12.133,257.138,0.209916,0.400634,0.552933,0.572326,0.320979
23,544.611,1,8.64361,42.3474,11.9638,246.226,0.201019,0.358338,0.494558,0.541982,0.287093
24,527.209,1,8.54777,45.6918,10.9251,250.915,0.21488,0.320507,0.491884,0.565479,0.256783
25,511.641,1,8.45351,45.1346,10.5513,256.335,0.21866,0.28667,0.508555,0.573092,0.229674
26,486.461,1,8.49246,45.052,9.7779,245.975,0.221228,0.2709,0.477472,0.575327,0.205427
27,466.303,1,8.53777,44.2568,9.61513,223.189,0.248891,0.246225,0.427064,0.591072,0.183739
28,443.961,1,8.53155,44.5692,9.27675,213.805,0.238637,0.229578,0.413449,0.624983,0.164341
29,436.61,1,8.5377,45.5626,9.21156,207.492,0.255699,0.23845,0.449136,0.648868,0.146991
30,423.145,1,8.56092,46.8307,9.52822,213.241,0.250873,0.247788,0.456984,0.671387,0.131473
31,400.968,1,8.53824,46.8038,9.02137,212.878,0.26256,0.245701,0.408739,0.713251,0.117593
32,393.057,1,8.46603,45.7312,9.009,209.649,0.259871,0.247465,0.395507,0.727252,0.105178
33,393.61,1,8.41351,46.5356,8.82025,206.146,0.267072,0.288989,0.388086,0.750564,0.0964767
34,377.994,1,8.41555,47.5728,8.438,212.518,0.269013,0.275578,0.365093,0.823002,0.0890601
35,373.974,1,8.46483,47.591,8.43409,211.876,0.264369,0.282255,0.388749,0.85726,0.0858259
36,360.87,1,8.49885,47.7705,9.16452,211.621,0.277416,0.27075,0.393528,0.857301,0.0799438
37,362.42,1,8.33564,47.1214,9.12876,214.352,0.288224,0.255589,0.394475,0.82832,0.081198
38,360.138,1,8.37083,46.6841,8.84071,209.193,0.285727,0.261713,0.414267,0.843246,0.0792875
39,350.104,1,8.20368,46.4139,9.12975,224.229,0.307338,0.255931,0.398402,0.821232,0.075414
40,346.827,1,8.19806,46.3307,9.52218,228.386,0.29303,0.272314,0.417691,0.843525,0.0731877
41,351.974,1,8.26727,46.7826,9.64546,226.408,0.296553,0.272766,0.441233,0.823137,0.0746959
42,342.417,1,8.33394,47.1817,9.16637,222.802,0.292314,0.271488,0.405075,0.814575,0.0722712
43,345.733,1,8.27202,46.8287,9.46879,223.184,0.316443,0.266378,0.431733,0.841892,0.0718655
44,338.277,1,8.26843,45.9208,9.52796,223.308,0.314277,0.261948,0.428616,0.869637,0.0691127
45,343.209,1,8.24667,45.8855,9.64896,221.929,0.31439,0.259801,0.444405,0.870795,0.0706051
46,335.37,1,8.4226,46.5376,9.33689,213.12,0.281913,0.263407,0.427854,0.910131,0.0686662
47,335.088,1,8.47412,46.1342,9.44326,212.493,0.283589,0.255629,0.395337,0.940811,0.0692683
48,327.078,1,8.464,46.5452,9.76121,216.813,0.28786,0.233793,0.386667,0.841487,0.0693466
49,327.159,1,8.55155,45.9358,9.7281,213.429,0.275354,0.231175,0.370294,0.752649,0.07083
50,335.424,1,8.59459,46.3859,9.47447,211.487,0.28107,0.233112,0.362865,0.751839,0.0736765
51,328.86,1,8.62873,46.7991,9.28524,196.998,0.274042,0.240463,0.354897,0.786689,0.0709018
52,330.123,1,8.50775,46.0041,9.40743,201.056,0.271402,0.251177,0.36182,0.821001,0.0703781
53,337.556,1,8.49274,45.7001,9.54522,199.507,0.267969,0.249849,0.38007,0.86685,0.0722494
54,328.864,1,8.49562,45.5011,9.42447,198.884,0.270958,0.246016,0.384084,0.873044,0.0689183
55,335.676,1,8.45345,46.099,9.69321,205.95,0.28296,0.257529,0.383927,0.868914,0.0705386
56,340.533,1,8.4529,46.0187,9.68314,205.327,0.279347,0.252218,0.368085,0.869049,0.0731486
57,340.525,1,8.35496,45.4509,9.43726,215.776,0.256988,0.249086,0.393848,0.869626,0.0734405
58,338.668,1,8.22172,44.9471,9.22782,215.799,0.256443,0.259817,0.379601,0.895826,0.0723857
59,336.827,1,8.29869,44.8787,9.86798,212.418,0.253713,0.262297,0.403704,0.90338,0.0709795
60,331.759,1,8.39675,45.4423,9.96357,200.469,0.258309,0.264325,0.396537,0.915829,0.0689151
61,330.122,1,8.3644,45.112,9.90895,187.529,0.267521,0.254867,0.44132,0.990493,0.0665208
